profile,seed,cycle,phase,cause,mark,recalled,satiety,warmth,mood,name,traits
turtle,1000,6,HIGH,drown,2.00,1,67,99,39,Тула,clumsy|grinder
turtle,1000,6,HIGH,drown,2.00,1,67,99,14,Фрей,sinew|grinder
turtle,1000,6,HIGH,drown,2.00,1,66,99,14,Стиг,salter|deep_fear
turtle,1000,6,HIGH,drown,2.00,1,85,99,0,Лейв,cheerful|thrifty
turtle,1000,6,HIGH,drown,2.00,1,85,98,0,Хельга,cheerful|smith
turtle,1000,6,HIGH,drown,2.00,1,79,99,0,Гест,deep_fear|salter
turtle,1000,6,HIGH,drown,2.00,1,66,86,0,Рагни,chipper|diver
greedy,1000,1,HIGH,drown,-2.32,0,81,91,70,Рагни,chipper|diver
greedy,1000,2,HIGH,drown,-1.92,0,64,91,42,Тула,clumsy|grinder
greedy,1000,2,HIGH,drown,-1.00,0,63,91,17,Фрей,sinew|grinder
greedy,1000,2,HIGH,drown,-1.00,0,63,86,0,Стиг,salter|deep_fear
greedy,1000,2,HIGH,drown,-0.22,0,63,85,0,Лейв,cheerful|thrifty
greedy,8919,1,HIGH,drown,-3.00,0,87,95,70,Сольвейг,salter|grinder
greedy,8919,2,HIGH,drown,-1.92,0,66,78,45,Дана,chilly|skittish
greedy,8919,2,HIGH,drown,-1.00,0,66,88,20,Скай,sleepy|light_sleep
greedy,8919,2,HIGH,drown,-1.00,0,66,88,0,Эрна,smith|cheerful
greedy,16838,2,HIGH,drown,-1.68,0,67,88,75,Гест,chipper|sharp_eye
greedy,16838,2,HIGH,drown,-0.81,0,67,94,50,Хельга,hardy|light_sleep
greedy,16838,5,HIGH,drown,-1.00,0,13,54,31,Арне,climber|thrifty
greedy,24757,1,HIGH,drown,-3.00,0,89,95,70,Гунар,thrifty|chipper
greedy,24757,1,HIGH,drown,-0.16,0,88,95,45,Корм,clumsy|chilly
greedy,32676,1,HIGH,drown,-3.00,0,87,97,70,Кай,hardy|sharp_eye
greedy,32676,2,HIGH,drown,-1.57,0,72,92,47,Лейв,climber|chipper
greedy,32676,2,HIGH,drown,-1.00,0,71,91,20,Лейв,sharp_eye|cheerful
greedy,32676,2,HIGH,drown,-1.00,0,71,89,0,Сигне,grinder|sinew
greedy,40595,1,HIGH,drown,-2.28,0,85,92,70,Мари,diver|sharp_eye
greedy,40595,2,HIGH,drown,-1.22,0,67,91,45,Бран,clumsy|deep_fear
greedy,48514,1,HIGH,drown,-1.44,0,85,89,70,Сольвейг,thrifty|chilly
greedy,48514,2,HIGH,drown,-1.92,0,69,89,45,Мора,sleepy|salter
greedy,48514,2,HIGH,drown,-1.00,0,59,88,20,Лада,glutton|skittish
greedy,48514,2,HIGH,drown,-1.00,0,69,92,0,Хельга,grinder|gloomy
greedy,48514,2,HIGH,drown,-0.31,0,69,94,0,Тула,climber|hardy
greedy,56433,1,HIGH,drown,-3.20,0,80,93,70,Стиг,glutton|chipper
greedy,56433,2,HIGH,drown,-1.92,0,69,92,47,Хакон,veteran|sinew
greedy,56433,2,HIGH,drown,-1.00,0,69,92,20,Гунар,cheerful|climber
greedy,56433,2,HIGH,drown,-1.00,0,69,89,0,Сольвейг,sinew|sharp_eye
greedy,56433,2,HIGH,drown,-0.48,0,59,87,0,Тор,glutton|chilly
greedy,64352,1,HIGH,drown,-3.00,0,87,94,70,Эрна,deep_fear|sharp_eye
greedy,64352,2,HIGH,drown,-1.92,0,66,87,47,Лейв,cheerful|clumsy
greedy,64352,2,HIGH,drown,-1.00,0,66,93,24,Мила,hardy|sharp_eye
greedy,64352,2,HIGH,drown,-1.00,0,66,93,0,Кай,hardy|salter
greedy,64352,2,HIGH,drown,-0.48,0,65,89,0,Фрей,smith|skittish
greedy,72271,1,HIGH,drown,-2.12,0,85,93,70,Ланс,gloomy|chipper
greedy,72271,2,HIGH,drown,-1.92,0,67,91,45,Ульв,sinew|clumsy
greedy,72271,2,HIGH,drown,-1.00,0,56,92,20,Рута,glutton|hardy
greedy,72271,2,HIGH,drown,-1.00,0,67,88,0,Веда,grinder|clumsy
greedy,72271,2,HIGH,drown,-0.31,0,67,89,0,Скай,sharp_eye|climber
greedy,80190,1,HIGH,drown,-3.04,0,87,97,70,Нора,hardy|salter
greedy,80190,2,HIGH,drown,-1.00,0,59,88,45,Сольвейг,light_sleep|glutton
greedy,88109,1,HIGH,drown,-3.00,0,83,94,70,Мора,glutton|sleepy
greedy,88109,5,HIGH,drown,-1.00,0,0,61,45,Лада,clumsy|glutton
greedy,88109,5,HIGH,drown,-1.00,0,17,56,20,Веда,sinew|salter
greedy,88109,5,HIGH,drown,-0.97,0,17,59,0,Нора,salter|sleepy
greedy,88109,5,HIGH,drown,-0.16,0,17,75,0,Оден,skittish|hardy
greedy,88109,5,HIGH,drown,-1.00,0,17,59,0,Корм,sharp_eye|diver
greedy,96028,1,HIGH,drown,-3.00,0,82,95,70,Ланс,veteran|hardy
greedy,96028,2,HIGH,drown,-1.92,0,64,93,45,Рагни,hardy|chilly
greedy,96028,2,HIGH,drown,-1.00,0,63,94,20,Ланс,chipper|hardy
