profile,seed,end,cycles,score,alive,deaths,drown,storm,built,lost,produced,relics,cards,min_satiety,min_warmth,min_mood,low_satiety_pct,low_warmth_pct,low_mood_pct,zero_satiety,zero_warmth,zero_mood,sick_pct,wet_pct,idle_pct,idle_bag_pct,fill_pct,deepest_mark,storm_min_mark,storm_below,storm_wet_band,storm_damaged,storm_buildings,cargo,survivor_points,creatures,damage,stolen,flooded_storages,rations,catch,scrap,kelp,driftwood,got_scrap,got_catch,got_kelp,got_salt,got_water,wreck5,wreck6
turtle,1000,ship,12,70,7,0,0,0,5,1,28,0,sea_loan|the_dash|careful|full_moon|full_moon|careful|the_dash|the_dash|careful|the_dash|careful|careful,52,55,17,0.00,0.00,3.61,0,0,0,0.00,2.11,67.16,0.00,26.66,-2,1.40,0,6,1,7,35,35,6,0,0,1,0,3,0,8,24,12,52,32,56,0,0,0
turtle,8919,ship,12,30,6,0,0,0,5,1,28,0,careful|full_moon|fast_haul|careful|sea_loan|sea_loan|muffled_bell|long_breath|careful|full_moon|sea_loan|careful,50,36,0,0.00,0.00,26.02,0,0,1067,0.00,1.84,67.89,0.00,27.20,-2,1.40,0,5,1,7,0,30,6,0,0,1,0,2,0,8,26,12,52,32,56,0,0,0
turtle,16838,ship,12,112,9,0,0,0,5,1,28,0,long_breath|long_breath|the_dash|deep_dive|fast_haul|careful|muffled_bell|muffled_bell|fast_haul|long_breath|long_breath|the_dash,49,68,18,0.00,0.00,2.34,0,0,0,0.00,1.11,68.03,0.00,30.38,-2,1.44,0,8,0,7,67,45,6,0,0,0,0,5,0,8,23,12,52,32,56,0,0,0
turtle,24757,ship,12,102,7,0,0,0,5,1,28,0,careful|careful|deep_dive|long_breath|long_breath|the_dash|fast_haul|fast_haul|long_breath|travel_light|the_dash|deep_dive,50,44,35,0.00,0.00,0.00,0,0,0,0.00,0.82,67.79,0.00,29.73,-2,1.64,0,6,0,7,67,35,6,0,0,0,0,7,0,8,21,12,52,32,56,0,0,0
turtle,32676,ship,12,35,7,0,0,0,5,1,28,0,careful|careful|careful|deep_dive|careful|long_breath|sea_loan|careful|travel_light|careful|muffled_bell|careful,50,63,0,0.00,0.00,6.68,0,0,300,0.00,0.77,67.16,0.00,31.01,-2,1.44,0,6,0,7,0,35,6,0,0,1,0,3,0,8,25,12,52,32,56,0,0,0
turtle,40595,ship,12,70,7,0,0,0,5,1,28,0,full_moon|careful|full_moon|long_breath|muffled_bell|muffled_bell|careful|long_breath|careful|travel_light|muffled_bell|travel_light,45,68,20,0.00,0.00,15.04,0,0,0,0.00,2.21,66.85,0.00,26.77,-2,1.64,0,7,1,7,35,35,6,0,0,1,0,5,0,8,19,12,52,32,56,0,0,0
turtle,48514,ship,12,102,7,0,0,0,5,1,28,0,long_breath|fast_haul|deep_dive|careful|careful|long_breath|careful|long_breath|the_dash|travel_light|deep_dive|sea_loan,49,54,10,0.00,0.00,12.95,0,0,0,0.00,0.66,66.65,0.00,31.61,-2,1.76,0,5,0,7,67,35,6,0,0,0,0,6,0,8,31,12,52,32,56,0,0,0
turtle,56433,ship,12,40,8,0,0,0,5,1,28,0,fast_haul|full_moon|muffled_bell|full_moon|careful|the_dash|travel_light|fast_haul|sea_loan|long_breath|careful|careful,10,58,0,1.24,0.00,10.17,0,0,376,0.00,1.73,67.73,0.00,26.99,-2,2.00,0,7,1,7,0,40,6,0,0,1,0,0,0,8,29,12,52,32,56,0,0,0
turtle,64352,ship,12,107,8,0,0,0,5,1,28,0,careful|travel_light|fast_haul|careful|long_breath|fast_haul|the_dash|careful|careful|careful|careful|travel_light,51,59,59,0.00,0.00,0.00,0,0,0,0.00,1.08,69.57,0.00,30.11,-2,1.40,0,7,0,7,67,40,6,0,0,0,0,4,0,8,29,12,52,32,56,0,0,0
turtle,72271,ship,12,35,7,0,0,0,5,1,28,0,careful|sea_loan|careful|the_dash|muffled_bell|sea_loan|sea_loan|the_dash|careful|sea_loan|muffled_bell|deep_dive,48,69,0,0.00,0.00,30.17,0,0,1318,0.00,2.01,66.91,0.00,26.18,-2,1.20,0,6,1,7,0,35,6,0,0,1,0,1,0,8,23,12,52,32,56,0,0,0
turtle,80190,ship,12,35,7,0,0,0,5,1,28,0,muffled_bell|sea_loan|fast_haul|the_dash|sea_loan|sea_loan|travel_light|careful|full_moon|careful|careful|careful,44,51,0,0.00,0.00,18.68,0,0,1092,0.00,1.85,69.38,0.00,25.86,-2,1.52,0,6,1,7,0,35,6,0,0,1,0,1,0,8,18,12,52,32,56,0,0,0
turtle,88109,ship,12,40,8,0,0,0,5,1,28,0,careful|careful|travel_light|travel_light|travel_light|sea_loan|sea_loan|full_moon|travel_light|careful|muffled_bell|careful,28,67,15,0.09,0.00,0.86,0,0,0,0.00,0.78,69.97,0.00,28.06,-2,1.80,0,7,0,7,0,40,6,0,0,1,0,0,0,8,25,12,52,32,56,0,0,0
turtle,96028,ship,12,65,6,0,0,0,5,1,28,0,sea_loan|careful|long_breath|careful|the_dash|careful|long_breath|careful|careful|careful|careful|long_breath,51,57,20,0.00,0.00,3.17,0,0,0,0.00,1.89,64.97,0.00,28.48,-2,1.80,0,5,1,7,35,30,6,0,0,1,0,8,0,8,28,12,52,32,56,0,0,0
turtle,103947,ship,12,65,6,0,0,0,5,1,28,0,long_breath|sea_loan|sea_loan|long_breath|careful|deep_dive|the_dash|fast_haul|long_breath|muffled_bell|careful|travel_light,50,65,0,0.00,0.00,32.85,0,0,300,0.00,1.58,65.71,0.00,26.74,-2,1.80,0,5,1,7,35,30,6,0,0,1,0,6,0,8,16,12,52,32,56,0,0,0
turtle,111866,ship,12,75,8,0,0,0,5,1,28,0,careful|careful|careful|sea_loan|careful|muffled_bell|long_breath|muffled_bell|the_dash|fast_haul|deep_dive|travel_light,39,33,5,0.00,0.00,19.18,0,0,0,0.00,1.92,69.20,0.00,25.66,-2,1.52,0,8,1,7,35,40,6,0,0,1,0,1,0,8,26,12,52,32,56,0,0,0
