profile,seed,cycle,deaths,ebb_start_level,at_risk_at_ebb,submerged_samples,submerged_pct,avg_satiety,avg_warmth,avg_mood
turtle,1000,1,0,-0.000,0,0,0.0,89.2,99.8,70.0
turtle,1000,2,0,0.000,0,0,0.0,69.4,94.9,69.7
turtle,1000,3,0,0.000,0,0,0.0,82.4,84.9,68.0
turtle,1000,4,0,0.000,0,0,0.0,80.5,85.3,74.0
turtle,1000,5,0,0.000,0,0,0.0,62.5,92.7,76.0
turtle,1000,6,7,0.000,0,40,2.3,78.3,97.6,74.3
turtle,8919,1,0,-0.000,0,0,0.0,91.0,99.3,70.0
turtle,8919,2,0,0.000,0,0,0.0,75.6,93.7,73.6
turtle,8919,3,0,0.000,0,0,0.0,76.3,83.2,73.7
turtle,8919,4,0,0.000,0,0,0.0,82.3,79.9,73.0
turtle,8919,5,0,0.000,0,0,0.0,69.1,87.5,73.0
turtle,8919,6,0,0.000,0,0,0.0,74.5,93.6,65.2
turtle,8919,7,0,4.000,0,3,0.1,64.5,91.0,48.1
turtle,8919,8,0,0.000,0,0,0.0,69.2,93.2,43.6
turtle,8919,9,0,0.000,0,0,0.0,70.1,95.1,39.8
turtle,8919,10,0,0.000,0,0,0.0,68.5,96.8,32.5
turtle,8919,11,0,0.000,0,0,0.0,70.1,97.7,24.3
turtle,8919,12,0,0.000,0,0,0.0,63.5,98.7,19.1
turtle,8919,13,0,4.000,0,0,0.0,0.0,0.0,0.0
turtle,16838,1,0,-0.000,0,0,0.0,91.0,99.1,70.0
turtle,16838,2,0,0.000,0,0,0.0,75.6,93.7,74.4
turtle,16838,3,0,0.000,0,0,0.0,76.3,84.2,74.6
turtle,16838,4,0,0.000,0,0,0.0,80.4,83.5,77.3
turtle,16838,5,0,0.000,0,0,0.0,68.6,93.4,83.1
turtle,16838,6,0,0.000,0,0,0.0,75.7,98.0,79.7
turtle,16838,7,0,3.000,1,7,0.3,71.2,96.4,69.7
turtle,16838,8,0,0.000,0,0,0.0,70.2,99.1,71.7
turtle,16838,9,0,0.000,0,0,0.0,68.8,99.6,73.7
turtle,16838,10,0,0.000,0,0,0.0,66.7,99.5,72.1
turtle,16838,11,0,0.000,0,0,0.0,68.8,99.3,75.3
turtle,16838,12,0,0.000,0,0,0.0,63.3,98.9,78.1
turtle,16838,13,0,2.000,0,0,0.0,60.7,100.0,84.0
turtle,24757,1,0,-0.000,0,0,0.0,90.0,99.2,70.0
turtle,24757,2,0,0.000,0,0,0.0,71.6,93.3,70.0
turtle,24757,3,0,0.000,0,0,0.0,79.9,89.8,70.0
turtle,24757,4,0,0.000,0,0,0.0,76.9,95.7,70.0
turtle,24757,5,0,0.000,0,0,0.0,71.2,98.6,70.0
turtle,24757,6,0,0.000,0,0,0.0,71.9,99.4,66.6
turtle,24757,7,0,2.000,0,0,0.0,71.8,99.6,68.6
turtle,24757,8,0,0.000,0,0,0.0,67.6,99.1,66.7
turtle,24757,9,0,0.000,0,0,0.0,72.6,99.5,63.6
turtle,24757,10,0,0.000,0,0,0.0,65.1,99.6,58.7
turtle,24757,11,0,0.000,0,0,0.0,71.8,99.6,52.8
turtle,24757,12,0,0.000,0,0,0.0,63.2,98.8,47.7
turtle,24757,13,0,3.000,0,0,0.0,0.0,0.0,0.0
turtle,32676,1,0,-0.000,0,0,0.0,91.0,99.4,70.0
turtle,32676,2,0,0.000,0,0,0.0,75.6,94.4,74.7
turtle,32676,3,0,0.000,0,0,0.0,76.2,91.8,74.3
turtle,32676,4,0,0.000,0,0,0.0,81.6,97.9,75.3
turtle,32676,5,0,0.000,0,0,0.0,67.0,99.9,76.3
