seed,cycles,end,score,raw,alive,deaths,drowned,relics,built,lost,storms,deepest,produced,ticks,ms
1000,12,ship,40,40,8,0,0,0,0,0,1,-2,14,33675,4215
8919,12,ship,35,35,7,0,0,0,0,0,1,-2,14,34162,4451
16838,12,ship,40,40,8,1,1,0,0,0,1,-2,14,34537,4835
24757,12,ship,30,30,6,1,1,0,0,0,1,-2,14,33675,3809
32676,12,ship,35,35,7,1,1,0,0,0,1,-2,14,33787,4415
40595,12,ship,30,30,6,1,1,0,0,0,1,-2,14,34800,3926
48514,12,ship,30,30,6,0,0,0,0,0,1,-2,14,33300,3743
56433,12,ship,45,45,9,0,0,0,0,0,1,-2,14,33675,4266
64352,12,ship,30,30,6,1,1,0,0,0,1,-2,14,34162,4043
72271,12,ship,30,30,6,0,0,0,0,0,1,-2,14,33787,3896
80190,12,ship,45,45,9,0,0,0,0,0,1,-2,14,33787,4719
88109,12,ship,30,30,6,1,1,0,0,0,1,-2,14,34050,3989
96028,12,ship,30,30,6,1,1,0,0,0,1,-2,14,34425,4044
103947,12,ship,35,35,7,1,1,0,0,0,1,-2,14,33037,4386
111866,12,ship,35,35,7,0,0,0,0,0,1,-2,14,34537,4370
119785,12,ship,35,35,7,1,1,0,0,0,1,-2,14,34425,4447
127704,12,ship,35,35,7,0,0,0,0,0,1,-2,14,33412,4142
135623,12,ship,40,40,8,0,0,0,0,0,1,-2,14,34050,4725
143542,12,ship,35,35,7,1,1,0,0,0,1,-2,14,34162,4059
151461,12,ship,35,35,7,0,0,0,0,0,1,-2,14,33412,4347
