# Происхождение арта TIDEBOUND. Нужен для формы раскрытия AI-контента в Steam
# и для титров (prompts/ART-integration §5). Строка добавляется В МОМЕНТ
# интеграции ассета в игру, а не «потом перед релизом»: восстанавливать это
# за неделю до отправки — ад (research/29 §6.2).
#
# slot   — куда встал ассет (слот атласа / ряд листа / def_id)
# source — исходный файл в art-rd/processed (только *_pick, §0 промпта)
# tool   — чем сгенерировано
# style  — пресет модели; точный промпт и сид — в artgen/index.html
# date   — дата интеграции в игру (не генерации)
#
# ⚠️ Ни один PNG в assets/sprites не кладётся руками: всё собирают
# tools/gen_tiles.gd, gen_agent.gd, gen_creature.gd, gen_building_art.gd,
# gen_item_icons.gd и gen_decor.gd. Правка «на месте» переживёт ровно до
# следующего прогона сборщика.
#
# СЧЁТ: отобранных файлов 135 (108 из генерации + 27 дописаны суффиксом _pick
# этим проходом: анимации агента и существа, иконки построек, помост).
# В игре стоят 79. Остальные 56 — ВАРИАНТЫ того же ассета (другой тайл того же
# семейства, вторая серия иконок, другая версия постройки): «108 файлов» это
# 108 кандидатов на ~53 позиции, а не 108 позиций.
#
# НЕ ВЗЯТО в игру и почему:
#   amb_gull_v1_0{1;2;4}  — генерация не дала силуэта: 62 из 64 пикселей это
#                           фон; чайку надо перегенерировать
#   tile_trans_v3_01      — лист переходов между семействами; ему нужны
#                           alternative-тайлы в data/tilesets (владелец data/)
#   tile_mud_v1_0*        — семейство без слота: слотов в атласе шесть, и все
#                           заняты (контракт с data/tilesets/placeholder.tres)
#   icon_*_v1_02          — вторая серия иконок, запас
#   agent_design_v1_0*    — варианты внешности агента: пригодятся, когда
#                           колонисты станут различаться (backlog)
file,slot,source,tool,style,date,note
assets/sprites/placeholder_tiles.png,0 cliff,tile_dry_v1_04_pick.png,Retro Diffusion (MCP rd_generate),rd_tile__single_tile,2026-08-22,сухой камень верхних ярусов; отобран из четырёх по шву и спокойствию при ×3
assets/sprites/placeholder_tiles.png,1 sand,tile_wet_v1_04_pick.png,Retro Diffusion (MCP rd_generate),rd_tile__single_tile,2026-08-22,мокрый камень ниже линии прилива; слот назван sand со времён заглушек
assets/sprites/placeholder_tiles.png,2 ruins,tile_ruin_v1_04_pick.png,Retro Diffusion (MCP rd_generate),rd_tile__single_tile,2026-08-22,руины затонувшего города; выбран за наименее заметный повтор на большой стене
assets/sprites/placeholder_tiles.png,3 ladder,bld_ladder_wood_v1_01_pick.png,Retro Diffusion (MCP rd_generate),rd_fast__low_res,2026-08-22,полоса с одной перекладиной; повторена с шагом 16 (tools/gen_tiles.gd)
assets/sprites/placeholder_tiles.png,4 back,tile_dry_v1_04_pick.png,Retro Diffusion (MCP rd_generate),rd_tile__single_tile,2026-08-22,задняя стенка ниши: тот же камень; затемнён к палитре ×0.42
assets/sprites/placeholder_tiles.png,5 water_edge,tile_edge_v2_02_pick.png,Retro Diffusion (MCP rd_generate),rd_tile__single_tile,2026-08-22,слот заполнен; в мире его пока никто не рисует (нужны альтернативы в data/)
assets/sprites/agent.png,0 idle,agent_design_v3_03_pick.png,Retro Diffusion (MCP rd_generate),rd_fast__low_res,2026-08-22,кромка 1 px из палитры добавлена сборщиком: без неё силуэт пропадает на охряном камне
assets/sprites/agent.png,1 walk,agent_walk_v2_01_pick.png,Retro Diffusion (MCP rd_generate),rd_animation__four_angle_walking,2026-08-22,кромка 1 px из палитры добавлена сборщиком: без неё силуэт пропадает на охряном камне
assets/sprites/agent.png,2 carry,agent_carry_v1_01_pick.png,Retro Diffusion (MCP rd_generate),rd_advanced_animation__custom_action,2026-08-22,кромка 1 px из палитры добавлена сборщиком: без неё силуэт пропадает на охряном камне
assets/sprites/agent.png,3 work,agent_work_v1_01_pick.png,Retro Diffusion (MCP rd_generate),rd_advanced_animation__custom_action,2026-08-22,кромка 1 px из палитры добавлена сборщиком: без неё силуэт пропадает на охряном камне
assets/sprites/agent.png,4 drown,agent_drown_v1_01_pick.png,Retro Diffusion (MCP rd_generate),rd_advanced_animation__custom_action,2026-08-22,кромка 1 px из палитры добавлена сборщиком: без неё силуэт пропадает на охряном камне
assets/sprites/agent.png,5 panic,agent_panic_v1_01_pick.png,Retro Diffusion (MCP rd_generate),rd_advanced_animation__custom_action,2026-08-22,кромка 1 px из палитры добавлена сборщиком: без неё силуэт пропадает на охряном камне
assets/sprites/agent_dead.png,—,agent_dead_v1_03_pick.png,Retro Diffusion (MCP rd_generate),rd_fast__low_res,2026-08-22,лежащее тело 24×16; отдельный файл: в клетку листа не влезает
